AirportCode	CityName	WorldAreaCode
AIV	"ALICEVILLE              "	51
AIY	"ATLANTIC CITY         "	21
AIZ	"LAKE OF THE OZARKS      "	64
AJA	"AJACCIO CORSICA              "	427
AJF	"JOUF                  "	670
AJJ	"AKJOUJT                 "	545
AJL	"AIJAL                        "	733
AJN	"ANJOUAN COMORO IS.                "	513
AJO	"ALJOUF                        "	694
AJR	"ARVIDSJAUR                  "	484
AJS	"ABREOJOS MEXICO                   "	148
AJU	"ARACAJU                      "	316
AJY	"AGADES NIGER                      "	554
AKA	"ANKANG                       "	713
AKB	"ATKA ISLAND               "	1
AKC	"AKRON/CANTON  -FULTON       "	44
AKD	"AKOLA                        "	733
AKE	"AKIENI                        "	526
AKF	"KUFRAH LIBYA                      "	538
AKG	"ANGUGANAK        "	804
AKI	"AKIAK                     "	1
AKJ	"ASAHIGAWA                     "	736
AKK	"AKHIOK                    "	1
AKL	"AUCKLAND NEW ZEALAND              "	851
AKM	"ZAKOUMA CHAD                      "	511
AKN	"KING SALMON               "	1
AKO	"AKRON                   "	82
AKP	"ANAKTUVUK PASS            "	1
AKQ	"ASTRAKSETRA              "	832
AKR	"AKURE                       "	555
AKS	"AUKI                   "	874
AKT	"AKROTIRI CYPRUS                   "	611
AKU	"AKSU                         "	713
AKV	"AKULIVIK QUE.              "	941
AKX	"AKTYUBINSK KAZAKHSTAN             "	738
AKY	"SITTWE MYANMAR                    "	706
ALA	"ALMA-ATA KAZAKHSTAN               "	738
ALB	"ALBANY NEW YORK                "	22
ALC	"ALICANTE                     "	482
ALD	"ALERTA                        "	368
ALE	"ALPINE                     "	74
ALF	"ALTA                         "	465
ALG	"ALGIERS                     "	500
ALH	"ALBANY W.                 "	802
ALI	"ALICE                      "	74
ALJ	"ALEXANDER BAY          "	562
ALK	"ASELA                      "	522
ALL	"ALBENGA                       "	450
ALM	"ALAMOGORDO            "	86
ALN	"ALTON                  "	41
ALO	"WATERLOO                 "	61
ALP	"ALEPPO                       "	676
ALQ	"ALEGRETE                     "	316
ALR	"ALEXANDRA NEW ZEALAND             "	851
ALS	"ALAMOSA                 "	82
ALT	"ALENQUER                     "	316
ALU	"ALULA SOMALIA                     "	573
ALV	"ANDORRA LA VELLA ANDORRA          "	402
ALW	"WALLA WALLA           "	93
ALX	"ALEXANDER CITY          "	51
ALY	"ALEXANDRIA       "	591
ALZ	"ALITAK                    "	1
AMA	"AMARILLO                   "	74
AMB	"AMBILOBE         "	541
AMC	"AM TIMAN CHAD                     "	511
AMD	"AHMEDABAD                    "	733
AME	"ALTO MOLOCUE           "	550
AMF	"AMA              "	804
AMG	"AMBOIN           "	804
AMH	"ARBA MINTCH                "	522
AMI	"AMPENAN                  "	832
AMJ	"ALMENARA                     "	316
AMK	"DURANGO                 "	82
AML	"PUERTO ARMUELLES PANAMA REP.      "	162
AMM	"AMMAN JORDAN                      "	639
AMN	"ALMA                   "	43
AMO	"MAO CHAD                          "	511
AMP	"AMPANIHY         "	541
AMQ	"AMBON                    "	832
AMR	"ARNO MARSHALL ISLANDS             "	844
AMS	"AMSTERDAM               "	461
AMT	"AMATA N.T.               "	802
AMU	"AMANAB           "	804
AMV	"AMDERMA                      "	770
AMW	"AMES                     "	61
AMX	"AMMAROO N.T.             "	802
AMY	"AMBATOMAINTY     "	541
AMZ	"ARDMORE NEW ZEALAND               "	851
ana	"ANAA FR. POLYNESIA S. PACIFIC    "	823
ANB	"ANNISTON                "	51
ANC	"ANCHORAGE                 "	1
AND	"ANDERSON SOUTH CAROLINA        "	37
ANE	"ANGERS                        "	427
ANF	"ANTOFAGASTA CHILE                 "	324
ANG	"ANGOULEME                     "	427
ANH	"ANUHA ISLAND RESORT SOLOMON ISLAND"	874
ANI	"ANIAK                     "	1
ANJ	"ZANAGA     "	515
ANL	"ANDULO ANGOLA                     "	502
ANM	"ANTALAHA         "	541
ANN	"ANNETTE ISLAND            "	1
ANO	"ANGOCHE                "	550
ANP	"ANNAPOLIS MARYLAND             "	35
ANQ	"ANGOLA NA                 "	42
ANR	"ANTWERP BELGIUM                   "	409
ANS	"ANDAHUAYLAS                   "	368
ANU	"ANTIGUA WEST INDIES               "	206
ANV	"ANVIK                     "	1
ANW	"AINSWORTH               "	65
ANX	"ANDENES                      "	465
ANY	"ANTHONY                   "	62
ANZ	"ANGAS DOWNS N.T.         "	802
AOA	"AROA             "	804
AOB	"ANNANBERG        "	804
AOC	"ALTENBURG        "	429
AOD	"ABOU DEIA CHAD                    "	511
AOG	"ANSHAN               "	713
AOH	"LIMA                        "	44
AOI	"ANCONA                        "	450
AOJ	"AOMORI                        "	736
AOK	"KARPATHOS                    "	433
AOL	"PASO DE LOS LIBRES        "	303
AON	"ARONA            "	804
AOO	"ALTOONA             "	23
AOR	"ALOR STAR                 "	749
AOS	"AMOOK                     "	1
AOU	"ATTOPEU                       "	744
APA	"DENVER                  "	82
APB	"APOLO BOLIVIA                     "	312
APC	"NAPA                  "	91
APE	"SAN JUAN APOSENTO             "	368
APF	"NAPLES                   "	33
APG	"ABERDEEN MARYLAND              "	35
APH	"BOWLING GREEN          "	38
API	"APIAY                     "	327
APK	"APATAKI              "	823
APL	"NAMPULA                "	550
APN	"ALPENA                 "	43
APO	"APARTADO                  "	327
APP	"ASAPA            "	804
APQ	"ARAPIRACA AL                "	316
APR	"APRIL RIVER      "	804
APS	"ANAPOLIS                     "	316
APT	"JASPER                "	54
APU	"APUCARANA                    "	316
APV	"APPLE VALLEY          "	91
APW	"APIA                     "	892
APX	"ARAPONGAS                    "	316
APY	"ALTO PARNAIBA                "	316
APZ	"ZAPALA                    "	303
AQA	"ARARAQUARA                   "	316
AQG	"ANQING               "	713
AQI	"QAISUMAH              "	670
AQJ	"AQABA JORDAN                      "	639
AQM	"ARIQUEMES                    "	316
AQP	"AREQUIPA                      "	368
AQS	"SAQANI                        "	821
AQY	"ALYESKA                   "	1
ARA	"NEW IBERIA LOUISIANA           "	72
ARB	"ANN ARBOR              "	43
ARC	"ARCTIC VILLAGE            "	1
ARD	"ALOR                     "	832
ARE	"ARECIBO PUERTO RICO               "	3
ARF	"ACARICUARA                "	327
ARG	"WALNUT RIDGE AR           "	71
ARH	"ARKHANGEL'SK                 "	475
ARI	"ARICA CHILE                       "	324
ARJ	"ARSO                     "	832
ARK	"ARUSHA                    "	585
ARL	"ARLY                  "	593
ARM	"ARMIDALE           "	802
ARN	"STOCKHOLM .                 "	484
ARO	"ARBOLETAS                 "	327
ARP	"ARAGIP           "	804
ARQ	"ARAUQUITA                 "	327
ARR	"ALTO RIO SENGUERR         "	303
ARS	"ARAGARCAS                    "	316
ART	"WATERTOWN NEW YORK             "	22
ARU	"ARACATUBA                    "	316
ARV	"MINOCQUA             "	45
ARW	"ARAD ROMANIA                      "	473
ARX	"ASBURY PARK           "	21
ARY	"ARARAT VIC.              "	802
ARZ	"N'ZETO ANGOLA                     "	502
ASA	"ASSAB                       "	523
ASB	"ASHKHABAD TURKMENISTAN            "	785
ASC	"ASCENSION BOLIVIA                 "	312
ASD	"ANDROS TOWN                "	204
ASE	"ASPEN                   "	82
ASF	"ASTRAKHAN                    "	475
ASG	"ASHBURTON NEW ZEALAND             "	851
ASH	"NASHUA NEW HAMPSHIRE           "	14
ASI	"ASCENSION ISLAND ST. HELENA       "	580
ASJ	"AMAMI O SHIMA                 "	736
ASK	"YAMOUSSOUKRO          "	533
ASL	"MARSHALL                   "	74
ASM	"ASMARA                      "	523
ASN	"TALLADEGA               "	51
ASO	"ASOSA                      "	522
ASP	"ALICE SPRINGS N.T.       "	802
ASQ	"AUSTIN                    "	85
ASR	"KAYSERI                      "	679
AST	"ASTORIA OREGON                 "	92
ASU	"ASUNCION                   "	365
ASV	"AMBOSELI                     "	535
ASW	"ASWAN            "	591
ASX	"ASHLAND              "	45
ASY	"ASHLEY           "	66
ASZ	"ASIRIM           "	804
ATA	"ANTA                          "	368
ATB	"ATBARA SUDAN                      "	583
ATC	"ARTHUR'S TOWN              "	204
ATD	"ATOIFI SOLOMON ISLAND             "	874
ATE	"ANTLERS OKLAHOMA               "	73
ATF	"AMBATO                     "	337
ATG	"ATTOCK                     "	764
ATH	"ATHENS                       "	433
ATI	"ARTIGAS                     "	385
ATJ	"ANTSIRABE   OF   "	541
ATK	"ATQASUK                   "	1
