AirportCode	CityName	WorldAreaCode
EZE	"BUENOS AIRES              "	303
EZS	"ELAZIG                       "	679
FAA	"FARANAH                     "	531
FAB	"FARNBOROUGH             "	493
FAC	"FAAITE FRENCH POLYNESIA           "	823
FAE	"FAEROE ISLANDS              "	419
FAG	"FAGURHOLSMYRI              "	439
FAH	"FARAH AFGHANISTAN                 "	701
FAI	"FAIRBANKS                 "	1
FAJ	"FAJARDO PUERTO RICO               "	3
FAK	"FALSE ISLAND              "	1
FAL	"ROMA                       "	74
FAM	"FARMINGTON              "	64
FAN	"FARSUND                      "	465
FAO	"FARO PORTUGAL                     "	469
FAR	"FARGO            "	66
FAS	"FASKRUDSFJORDUR            "	439
FAT	"FRESNO                "	91
FAV	"FAKARAVA             "	823
FAY	"FAYETTEVILLE     "	36
FBD	"FAIZABAD AFGHANISTAN              "	701
FBE	"FRANCISCO BELTRAO PR        "	316
FBK	"FAIRBANKS                 "	1
FBL	"FARIBAULT MINNESOTA            "	63
FBM	"LUBUMBASHI ZAIRE                  "	517
FBR	"FORT BRIDGER             "	88
FBU	"OSLO-FORNEBU                 "	465
FBY	"FAIRBURY                "	65
FCA	"KALISPELL               "	84
FCB	"FICKSBURG              "	562
FCH	"FRESNO                "	91
FCM	"MINNEAPOLIS  "	63
FCO	"ROME                        "	450
FCY	"FORREST CITY AR           "	71
FDE	"FORDE                        "	465
FDF	"FORT DE    MARTINIQUE         "	252
FDH	"FRIEDRICHSHAFEN             "	429
FDK	"FREDERICK MARYLAND             "	35
FDR	"FREDERICK OKLAHOMA             "	73
FDU	"BANDUNDU ZAIRE                    "	517
FDY	"FINDLAY                     "	44
FEA	"FETLAR SHETLAND IS. .K"	493
FEB	"SANFEBAGAR                   "	755
FEG	"FERGANA UZBEKISTAN                "	788
FEK	"FERKESSEDOUGOU        "	533
FEL	"FURSTENFELDBRUCK            "	429
FEN	"FERNANDO DE NORONHA          "	316
FEP	"FREEPORT               "	41
FET	"FREMONT                 "	65
FEW	"CHEYENNE                 "	88
FEZ	"FEZ                        "	548
FFA	"KILL DEVIL HILLS NC            "	36
FFD	"FAIRFORD            "	493
FFL	"FAIRFIELD                "	61
FFM	"FERGUS FALLS MINNESOTA         "	63
FFO	"DAYTON                      "	44
FFT	"FRANKFORT KENTUCKY             "	52
FFU	"FUTALEUFU CHILE                   "	324
FGD	"F'DERIK                 "	545
FGI	"APIA W. SAMOA.                    "	892
FGL	"FOX GLACIER NEW ZEALAND           "	851
FGU	"FANGATAU             "	823
FHU	"FT. HUACHUCA            "	81
FHZ	"FAKAHINA FRENCH POLYNESIA         "	823
FIC	"FIRE COVE                 "	1
FID	"FISHERS ISLAND NEW YORK        "	22
FIE	"FAIR ISLE SCOTLAND (U.K.)        "	493
FIG	"FRIA                        "	531
FIH	"KINSHASA ZAIRE                    "	517
FIK	"FINKE N.T.               "	802
FIL	"FILLMORE UTAH                  "	87
FIN	"FINSCHHAFEN      "	804
FIV	"FIVE FINGER               "	1
FIZ	"FITZROY CROSSING W.       "	802
FJR	"AL-FUJAIRAH        "	678
FKI	"KISANGANI ZAIRE                   "	517
FKJ	"FUKUI                         "	736
FKL	"OIL CITY/FRANKLIN PA           "	23
FKN	"FRANKLIN               "	38
FKQ	"FAK-FAK                  "	832
FKS	"FUKUSHIMA                     "	736
FLA	"FLORENCIA                 "	327
FLB	"FLORIANO PIAUI              "	316
FLC	"FALLS CREEK VICTORIA     "	802
FLD	"FOND DU LAC          "	45
FLF	"FLENSBURG                   "	429
FLG	"FLAGSTAFF               "	81
FLH	"FLOTTA ISLE SCOTLAND (U.K.)      "	493
FLI	"FLATEYRI                   "	439
FLJ	"FALLS BAY                 "	1
FLL	"FT. LAUDERDALE           "	33
FLM	"FILADELFIA                 "	365
FLN	"FLORIANOPOLIS                "	316
FLO	"FLORENCE SOUTH CAROLINA        "	37
FLP	"FLIPPIN AR                "	71
FLR	"FLORENCE                      "	450
FLS	"FLINDERS IS. TASMANIA             "	802
FLT	"FLAT                      "	1
FLW	"SANTA CRUZ FLORES IS. AZORES     "	469
FLX	"FALLON                    "	85
FLY	"FINLEY             "	802
FMA	"FORMOSA                   "	303
FMC	"FIVE MILE                 "	1
FMG	"FLAMINGO COSTA RICA               "	110
FMH	"FALMOUTH         "	13
FMI	"KALEMIE ZAIRE                     "	517
FMN	"FARMINGTON            "	86
FMO	"MUENSTER                    "	429
FMS	"FT. MADISON              "	61
FMY	"FT. MYERS                "	33
FNA	"FREETOWN SIERRA LEONE             "	571
FNC	"FUNCHAL MADEIRA IS.               "	469
FNE	"FANE             "	804
FNG	"FADA NGOURMA          "	593
FNH	"FINCHA                     "	522
FNI	"NIMES                         "	427
FNJ	"PYONGYANG N. KOREA                "	757
FNK	"FIN CREEK                 "	1
FNL	"FORT COLLINS/LOVELAND CO       "	82
FNR	"FUNTER BAY                "	1
FNT	"FLINT                  "	43
FOA	"FOULA SHETLAND IS. K   "	493
FOB	"FORT BRAGG            "	91
FOC	"FUZHOU                       "	713
FOD	"FT. DODGE                "	61
FOE	"TOPEKA                    "	62
FOG	"FOGGIA                        "	450
FOK	"WESTHAMPTON NEW YORK           "	22
FOM	"FOUMBAN CAMEROON                  "	504
FOO	"NUMFUR                   "	832
FOR	"FORTALEZA CEARA             "	316
FOS	"FORREST W.                "	802
FOT	"FORSTER            "	802
FOU	"FOUGAMOU                      "	526
FOX	"FOX                       "	1
FOY	"FOYA LIBERIA                      "	537
FPO	"FREEPORT                   "	204
FPR	"FT. PIERCE               "	33
FPY	"PERRY                    "	33
FRA	"FRANKFURT                   "	429
FRB	"FORBES             "	802
FRC	"FRANCA                       "	316
FRD	"FRIDAY HARBOR         "	93
FRE	"FERA IS.               "	874
FRF	"FRANKFURT                   "	429
FRG	"FARMINGDALE NEW YORK           "	22
FRH	"FRENCH LICK NA            "	93
FRJ	"FREJUS                        "	427
FRK	"FREGATE IS. SEYCHELLES IS. IND. OC"	570
FRL	"FORLI                         "	450
FRM	"FAIRMONT MINNESOTA             "	63
FRO	"FLORO                        "	465
FRP	"FRESH WATER BAY           "	1
FRQ	"FERAMIN          "	804
FRR	"FRONT ROYAL            "	38
FRS	"FLORES                   "	127
FRT	"FRUTILLAR CHILE                   "	324
FRU	"BISHKEK KYRGYZSTAN                "	743
FRV	"  VILLE                   "	526
FRW	"FRANCISTOWN              "	510
FRY	"FRYEBURG MAINE                 "	12
FSC	"FIGARI CORSICA               "	427
FSD	"SIOUX FALLS         "	67
FSI	"FORT SILL OKLAHOMA             "	73
FSK	"FT. SCOTT                 "	62
FSL	"FOSSIL DOWNS W.           "	802
FSM	"FT. SMITH AR              "	71
FSP	"ST. PIERRE ST. PIERRE & MIQUELON  "	977
FSS	"FORRES K                "	493
FST	"FT. STOCKTON               "	74
FSU	"FORT SUMNER           "	86
FTA	"FUTUNA ISLAND VANUATU             "	885
FTI	"FITIUTA AMERICAN SAMOA            "	5
FTL	"FORTUNA LEDGE             "	1
FTU	"FT. DAUPHIN      "	541
FTW	"DALLAS/FT.WORTH            "	74
FTX	"OWANDO     "	515
FTY	"ATLANTA                  "	34
FUB	"FULLEBORN        "	804
FUE	"FUERTEVENTURA CANARY IS.          "	482
FUG	"FUYANG                       "	713
FUJ	"FUKUE                         "	736
FUK	"FUKUOKA                       "	736
FUL	"FULLERTON             "	91
FUM	"FUMA             "	804
FUN	"FUNAFUTI TUVALU                   "	817
FUO	"FUOSHAN              "	713
FUT	"FUTUNAWALLIS & FUTUNA IS.         "	890
FVA	"TUZLA BOSNIA-HERZEGOVINA          "	410
FVB	"BALEDOGLE SOMALIA                 "	573
FVC	"BAIKONOUR KAZAKHSTAN              "	738
FVD	"SONORA                     "	74
FVE	"FALLBROOK             "	91
FWA	"FT. WAYNE NA              "	42
FWH	"DALLAS/FT.WORTH            "	74
FWL	"FAREWELL                  "	1
FWM	"FORT WILLIAM SCOTLAND (U.K.)     "	493
FXE	"FT. LAUDERDALE           "	33
FXM	"FLAXMAN ISLAND            "	1
FXO	"CUAMBA                 "	550
FXY	"FOREST CITY              "	61
FYM	"FAYETTEVILLE          "	54
FYN	"FUYUN SINKIANG              "	713
FYT	"FAYA CHAD                         "	511
FYU	"FT. YUKON                 "	1
FYV	"FAYETTEVILLE AR           "	71
FZO	"FILTON                  "	493
GAA	"GUAMAL                    "	327
GAB	"GABBS                     "	85
GAC	"GRACIAS HONDURAS                  "	131
GAD	"GADSDEN                 "	51
GAE	"GABES                       "	588
GAF	"GAFSA                       "	588
GAG	"GAGE OKLAHOMA                  "	73
GAH	"GAYNDAH             "	802
GAI	"GAITHERSBURG MARYLAND          "	35
GAJ	"YAMAGATA HONSHU              "	736
GAK	"GAKONA                    "	1
GAL	"GALENA                    "	1
GAM	"GAMBELL                   "	1
GAN	"GAN ISLAND MALDIVES               "	750
GAO	"GUANTANAMO                    "	219
GAP	G                                  	804
GAQ	"GAO MALI                          "	543
GAR	"GARAINA          "	804
GAS	"GARISSA                      "	535
GAT	"GAP                           "	427
GAU	"GAUHATI                      "	733
GAV	"GAG ISLAND               "	832
GAW	"GANGAW MYANMAR                    "	706
GAX	"GAMBA                         "	526
GAY	"GAYA                         "	733
GAZ	"GUASOPA          "	804
GBA	"BIG BAY VANUATU                   "	885
GBB	"GARA DJEBILET               "	500
GBC	"GASUKE           "	804
GBD	"GREAT BEND                "	62
GBE	"GABORONE                 "	510
GBF	"NEGARBO          "	804
GBG	"GALESBURG              "	41
GBH	"GALBRAITH LAKE            "	1
GBJ	"MARIE GALANTE FR. ANTILLES        "	235
GBK	"GBANGBATOK SIERRA LEONE           "	571
GBL	"GOULBURN IS. N.T.        "	802
GBM	"GARBAHAREY SOMALIA                "	573
GBO	"BALTIMORE MARYLAND             "	35
GBP	"GAMBOOLA            "	802
GBR	"GREAT BARRINGTON MA            "	13
GBU	"KHASHM EL GIRBA SUDAN             "	583
GBV	"GIBB RIVER W.             "	802
GBY	"GALKAYO SOMALIA                   "	573
GBZ	"GREAT BARRIER IS. NEW ZEALAND     "	851
GCA	"GUACAMAYAS                "	327
GCC	"GILLETTE                 "	88
GCI	"GUERNSEY CHANNEL IS. (U.K.)      "	493
GCJ	"JOHANNESBURG-GRAND CNTL S. AFRICA "	562
GCK	"GARDEN CITY               "	62
GCM	"GRAND CAYMAN WEST INDIES          "	233
GCN	"GRAND CANYON            "	81
GCY	"GREENVILLE            "	54
GDA	"GOUNDA CEN. AFRICAN EMPIRE        "	509
GDC	"GREENVILLE/SPARTANBURG SC      "	37
GDD	"GORDON DOWNS W.           "	802
GDE	"GODE                       "	522
GDG	"MAGDAGACHI                   "	770
GDH	"GOLDEN HORN                  "	1
GDI	"GORDIL CEN. AFRICAN REPUBLIC      "	509
GDJ	"GANDAJIKA ZAIRE                   "	517
GDL	"GUADALAJARA MEXICO                "	148
GDM	"GARDNER          "	13
GDN	"GDANSK POLAND                     "	467
GDO	"GUASDUALITO              "	388
GDP	"GUADALUPE PI                "	316
GDQ	"GONDAR                     "	522
GDT	"GRAND TURK B.W.I.                 "	281
GDV	"GLENDIVE                "	84
GDW	"GLADWIN                "	43
GDX	"MAGADAN                      "	770
GDZ	"GELENDZIK                    "	475
GEA	"NOUMEA NEW CAL.                   "	846
GEB	"GEBE                     "	832
GEC	"GECITKALE CYPRUS                  "	611
GED	"GEORGETOWN DELAWARE            "	31
GEE	"GEORGE TOWN TASMANIA     "	802
GEF	"GEVA SOLOMON ISLANDS              "	874
GEG	"SPOKANE               "	93
GEI	"GREEN ISLANDS    "	804
GEK	"GANES CREEK               "	1
GEL	"SANTO ANGELO                 "	316
GEN	"OSLO  .                      "	465
GEO	"GEORGETOWN GUYANA                 "	350
GER	"NUEVA GERONA                  "	219
GES	"GENERAL SANTOS          "	766
GET	"GERALDTON W.              "	802
GEV	"GALLIVARE                   "	484
GEW	"GEWOYA           "	804
GEX	"GEELONG VIC.             "	802
GEY	"GREYBULL                 "	88
GFA	"GREAT FALLS             "	84
GFB	"TOGIAK FISH               "	1
GFD	"GREENFIELD NA             "	42
GFE	"GRENFELL           "	802
GFF	"GRIFFITH           "	802
GFK	"GRAND FORKS      "	66
GFL	"GLENS FALLS NEW YORK           "	22
GFN	"GRAFTON            "	802
GFO	"BARTICA GUYANA                    "	350
GFR	"GRANVILLE                     "	427
GFY	"GROOTFONTEIN S. W. AFRICA         "	575
GGC	"LUMBALA ANGOLA                    "	502
GGD	"GREGORY DOWNS       "	802
GGE	"GEORGETOWN SOUTH CAROLINA      "	37
GGG	"LONGVIEW                   "	74
GGL	"GILGAL                    "	327
GGN	"GAGNOA                 "	533
GGO	"GUIGLO                 "	533
GGR	"GAROE SOMALIA                     "	573
GGS	"GOBERNADOR GREGORES       "	303
GGT	"GEORGE TOWN                "	204
GGW	"GLASGOW                 "	84
GHA	"GHARDAIA                    "	500
GHB	"GOVERNORS HARBOUR          "	204
GHC	"GREAT HARBOUR CAY          "	204
GHD	"GHIMBI                     "	522
GHE	"GARACHINE PANAMA REP.             "	162
GHK	"GUSH KATIF                   "	636
GHL	"GARDEN HILL MAN.           "	926
GHM	"CENTERVILLE           "	54
GHN	"GUANGHAN             "	713
GHO	"GRAHAMSTOWN            "	562
GHT	"GHAT LIBYA                        "	538
GHU	"GUALEGUAYCHU              "	303
GIB	"GIBRALTAR GIBRALTAR               "	431
GIC	"BOIGU ISLAND        "	337
GID	"GITEGA BURUNDI                    "	503
GIF	"WINTER HAVEN             "	33
GIG	"RIO DE JANEIRO BRA.               "	316
GII	"SIGUIRI                     "	531
GIL	"GILGIT                     "	764
GIM	"MIELE                         "	526
GIO	"GEILO                        "	465
GIR	"GIRARDOT                  "	327
GIS	"GISBORNE NEW ZEALAND              "	851
GIT	"GEITA                     "	585
GIY	"GIYANI                 "	562
GIZ	"GIZAN                 "	670
GJA	"GUANAJA IS. HONDURAS              "	131
GJL	"JIJEL                       "	500
GJM	"GUAJARA-MIRIM                "	316
GJR	"GJOGUR                     "	439
GJT	"GRAND JUNCTION          "	82
GKA	"GOROKA           "	804
GKE	"GEILENKIRCHEN               "	429
GKH	"GORKHA                       "	755
GKL	"GREAT KEPPEL ISLAND       "	802
GKN	"GULKANA                   "	1
GKO	"KONGO-BOUMBA                  "	526
GKT	"GATLINBURG            "	54
GLA	"GLASGOW SCOTLAND (U.K.)          "	493
GLB	"GILBUES PIAUI               "	316
GLC	"GELADI                     "	522
GLD	"GOODLAND                  "	62
GLE	"GAINESVILLE                "	74
GLF	"GOLFITO COSTA RICA                "	110
GLG	"GLENGYLE            "	802
GLH	"GREENVILLE          "	53
GLI	"GLEN INNES         "	802
GLK	"GALCAIO SOMALIA                   "	573
GLL	"GOL                          "	465
GLM	"GLENORMISTON        "	802
GLN	"GOULIMIME                  "	548
GLO	"GLOUCESTER/CHELTENHAM"	493
GLP	"GULGUBIP         "	804
GLQ	"GLENNALLEN                "	1
GLR	"GAYLORD                "	43
GLS	"GALVESTON                  "	74
GLT	"GLADSTONE           "	802
GLV	"GOLOVIN                   "	1
GLW	"GLASGOW KENTUCKY               "	52
GLX	"GALELA                   "	832
GLY	"MT. GOLDSWORTHY W.        "	802
GLZ	"BREDA                   "	461
GMA	"GEMENA ZAIRE                      "	517
GMB	"GAMBELA                    "	522
GMC	"GUERIMA                   "	327
GME	"GOMEL BELARUS                     "	413
GMI	"GASMATA          "	804
GMM	"GAMBOMA    "	515
GMN	"GREYMOUTH NEW ZEALAND             "	851
GMR	"GAMBIER  S. PAC."	823
GMS	"GUIMARAES                    "	316
GMT	"GRANITE MOUNTAIN          "	1
GMU	"GREENVILLE/SPARTANBURG SC      "	37
GMV	"MONUMENT VALLEY GOULDINGS UTAH US"	87
GNA	"GRODNO BELARUS                    "	413
GNB	"GRENOBLE                      "	427
GND	"GRENADA WINDWARD IS.              "	273
GNE	"GHENT BELGIUM                     "	409
GNG	"GOODING                  "	83
GNI	"GREEN ISLAND                "	781
GNM	"GUANAMBI                     "	316
GNN	"GHINNIR                    "	522
GNR	"GENERAL ROCA              "	303
GNS	"GUNUNGSITOLI             "	832
GNT	"GRANTS                "	86
GNU	"GOODNEWS BAY              "	1
GNV	"GAINESVILLE              "	33
GNY	"GRANBY                  "	82
GNZ	"GHANZI                   "	510
GOA	"GENOA                         "	450
GOB	"GOBA                       "	522
GOC	"GORA             "	804
GOE	"GONALIA          "	804
GOH	"GODTHAB GREENLAND                 "	975
GOI	"GOA                          "	733
GOJ	"NIZHNIY NOVGOROD (GORKIJ)    "	475
GOK	"GUTHRIE OKLAHOMA               "	73
GOL	"GOLD BEACH OREGON              "	92
GOM	"GOMA ZAIRE                        "	517
GON	"NEW LONDON CONNECTICUT         "	11
GOO	"GOONDIWINDI         "	802
GOP	"GORAKHPUR                    "	733
GOQ	"GOLMUD                       "	713
GOR	"GORE                       "	522
GOS	"GOSFORD            "	802
GOT	"GOTHENBURG                  "	484
GOU	"GAROUA CAMEROON                   "	504
GOV	"GOVE N.T.                "	802
GOY	"GAL OYA                   "	711
GOZ	"GORNA ORJACHOVICA BULGARIA        "	411
GPA	"PATRAS                       "	433
GPB	"GUARAPUAVA                   "	316
GPI	"GUAPI                     "	327
GPL	"GUAPILES COSTA RICA               "	110
GPN	"GARDEN POINT N.T.        "	802
GPO	"GENERAL PICO              "	303
GPS	"GALAPAGOS ISLANDS          "	337
GPT	"GULFPORT/BILOXI     "	53
GPZ	"GRAND RAPIDS MINNESOTA         "	63
GQQ	"GALION                      "	44
GRA	"GAMARRA                   "	327
GRB	"GREEN BAY            "	45
GRC	"GRAND CESS LIBERIA                "	537
GRD	"GREENWOOD SOUTH CAROLINA       "	37
GRE	"GREENVILLE             "	41
GRF	"FORT LEWIS            "	93
GRG	"GARDEZ DEM REP OF AFGHANISTAN     "	701
GRH	"GARUAHI          "	804
GRI	"GRAND ISLAND            "	65
GRJ	"GEORGE                 "	562
GRK	"KILLEEN                    "	74
GRL	"GRENAATBOSKOLK         "	562
GRM	"GRAND MARAIS MINNESOTA         "	63
GRN	"GORDON                  "	65
GRO	"GERONA                       "	482
GRP	"GURUPI GOIAS                "	316
GRQ	"GRONINGEN               "	461
GRR	"GRAND RAPIDS           "	43
GRS	"GROSSETO                      "	450
GRT	"GUJRAT                     "	764
GRU	"SAO PAULO  "	316
GRV	"GROZNYJ                      "	475
GRW	"GRACIOSA ISLAND PORTUGAL (AZORES) "	469
GRX	"GRANADA                      "	482
GRY	"GRIMSEY                    "	439
GRZ	"GRAZ AUSTRIA                      "	403
GSA	"LONG PASIA SABAH         "	749
GSB	"GOLDSBORO        "	36
GSC	"GASCOYNE JUNCTION W.      "	802
GSE	"GOTHENBURG-SAEVE            "	484
GSH	"GOSHEN NA                 "	42
GSI	"GUADALCANAL SOLOMON ISLANDS       "	874
GSL	"TALTHEILEI NARROWS NWT     "	931
GSN	"MOUNT GUNSON S.           "	802
GSO	"GREENSBORO/HIGH POINT NC       "	36
GSP	"GREENVILLE/SPARTANBURG SC      "	37
GSR	"GARDO SOMALIA                     "	573
GSS	"SABI SABI              "	562
GST	"GUSTAVUS                  "	1
GSU	"GEDAREF SUDAN                     "	583
GSY	"GRIMSBY                 "	493
GTA	"GATOKAE SOLOMON ISLANDS           "	874
GTB	"GENTING                   "	749
GTC	"GREEN TURTLE               "	204
GTE	"GROOTE IS. N.T.          "	802
GTF	"GREAT FALLS             "	84
GTG	"GRANTSBURG           "	45
GTI	"GUETTIN                     "	429
GTK	"SUNGEI TEKAI              "	749
GTN	"MOUNT COOK-GLENTANNER NEW ZEALAND "	851
GTO	"GORONTALO                "	832
GTR	"COLUMBUS            "	53
GTS	"GRANITES N.T.            "	802
GTT	"GEORGETOWN          "	802
GTW	"ZLIN                "	418
GTY	"GETTYSBURG          "	23
GUA	" CITY           "	127
GUB	"GUERRERO NEGRO MEXICO             "	148
GUC	"GUNNISON                "	82
GUD	"GOUNDAM MALI                      "	543
GUE	"GURIASO          "	804
GUF	"GULF SHORES             "	51
GUG	"GUARI            "	804
GUH	"GUNNEDAH           "	802
GUI	"GUIRIA                   "	388
GUJ	"GUARATINGUETA                "	148
GUL	"GOULBURN           "	802
GUM	"GUAM ISLAND MARIANA IS.           "	5
GUO	"GUALACO HONDURAS                  "	131
GUP	"GALLUP                "	86
GUQ	"GUANARE                  "	388
GUR	"ALOTAU           "	804
GUS	" NA                   "	42
GUT	"GUTERSLOH                   "	429
GUU	"GRUNDARFJORDUR             "	439
GUV	"MOUGULU          "	804
GUW	"GURYEV KAZAKHSTAN                 "	738
GUX	"GUNA                         "	733
GUY	"GUYMON OKLAHOMA                "	73
GUZ	"GUIRATINGA                   "	316
GVA	"GENEVA                  "	486
GVE	"GORDONSVILLE           "	38
GVI	"GREEN RIVER      "	804
GVL	"GAINESVILLE              "	34
GVP	"GREENVALE           "	802
GVR	"GOVERNADOR VALADARES         "	316
GVT	"GREENVILLE                 "	74
GVW	"GRANDVIEW               "	64
GVX	"GAVLE                       "	484
GWA	"GWA MYANMAR                       "	706
GWD	"GWADAR                     "	764
GWE	"GWERU ZIMBABWE                    "	565
GWL	"GWALIOR                      "	733
GWN	"GNAROWEIN        "	804
GWO	"GREENWOOD           "	53
GWS	"GLENWOOD SPRINGS        "	82
GWT	"WESTERLAND                  "	429
GWY	"GALWAY REPUBLIC OF IRELAND        "	441
GXF	"GHURAF                        "	694
GXG	"NEGAGE ANGOLA                     "	502
GXH	"MILDENHALL UK--NAF                "	493
GXQ	"COYHAIQUE CHILE                   "	324
GXX	"YAGOUA CAMEROON                   "	504
GXY	"GREELEY                 "	82
GYA	"GUAYARAMERIN BOLIVIA              "	312
GYE	"GUAYAQUIL                  "	337
GYI	"GISENYI RWANDA                    "	566
GYL	"ARGYLE WA                "	802
GYM	"GUAYMAS MEXICO                    "	148
GYN	"GOIANIA                      "	316
GYP	"GYMPIE              "	802
GYR	"GOODYEAR                "	81
GYY	"GARY NA                   "	42
GZI	"GHAZNI AFGHANISTAN                "	701
GZM	"GOZO                        "	456
GZO	"GIZO                   "	874
GZT	"GAZIANTEP                    "	679
HAA	"HASVIK                       "	465
HAB	"HAMILTON                "	51
HAC	"HACHIJO JIMA ISLAND           "	736
HAD	"HALMSTAD                    "	484
HAE	"HAVASUPAI               "	81
HAF	"HALF MOON             "	91
HAG	"THE HAGUE               "	461
HAH	"MORONI COMORO IS..                "	513
HAJ	"HANNOVER                    "	429
HAK	"HAIKOU                       "	713
HAL	"HALALI S. W. AFRICA               "	575
HAM	"HAMBURG                     "	429
HAN	"HANOI SOC. REP. OF VIETNAM        "	791
HAO	"HAMILTON                    "	44
HAP	"HAPPY BAY           "	802
HAQ	"HANIMAADHOO MALDIVES              "	750
HAR	"HARRISBURG          "	23
HAS	"HAIL                  "	670
HAT	"HEATHLANDS          "	802
HAU	"HAUGESUND                    "	465
HAV	"HAVANA                        "	219
HAW	"HAVERFORDWEST WALES UK            "	493
HAY	"HAYCOCK                   "	1
HAZ	"HATZFELDTHAVEN   "	804
HBA	"HOBART TASMANIA                   "	802
HBB	"HOBBS                 "	86
HBC	"HANUS BAY                 "	1
HBH	"HOBART BAY                "	1
HBI	"HARBOUR ISLAND             "	204
HBK	"HINCHINBROOK              "	1
HBN	"PHUBON SOC. REP. OF VIETNAM       "	791
HBO	"HUMBOLDT                "	65
HBR	"HOBART OKLAHOMA                "	73
HBT	"HAFR ALBATIN          "	670
HBX	"HUBLI                        "	733
HCA	"BIG SPRING                 "	74
HCB	"SHOAL COVE                "	1
HCC	"HUDSON NEW YORK                "	22
HCM	"EIL SOMALIA                       "	573
HCN	"HENGCHUN                    "	781
HCQ	"HALLS CREEK W.            "	802
HCR	"HOLY CROSS                "	1
HCS	"JOHANNESBURG S. AFRICA-RANDBURG   "	562
HCW	"CHERAW SOUTH CAROLINA          "	37
HDA	"HIDDEN FALLS              "	1
HDB	"HEIDELBERG                  "	429
HDD	"HYDERABAD                  "	764
HDE	"HOLDREGE                "	65
HDF	"HERINGSDORF                 "	429
HDM	"HAMADAN                        "	632
HDN	"STEAMBOAT SPRINGS       "	82
HDS	"HOEDSPRUIT TRANSVAAL  "	562
HDY	"HAT YAI                   "	782
HEA	"HERAT AFGHANISTAN                 "	701
HEB	"HENZADA MYANMAR                   "	706
HED	"HERENDEEN                 "	1
HEE	"HELENA AR                 "	71
HEH	"HEHO MYANMAR                      "	706
HEI	"HEIDE/BUESUM                "	429
HEK	"HEIHE                "	713
HEL	"HELSINKI                   "	425
HEN	"HENDON                  "	493
HEO	"HAELOGO          "	804
HER	"HERAKLION                    "	433
HES	"HERMISTON OREGON               "	92
HET	"HOHHOT                       "	713
HEX	"SANTO DOMINGO DOMINICAN REPUBLIC  "	224
HEZ	"NATCHEZ             "	53
HFA	"HAIFA                        "	636
HFD	"HARTFORD CT/SPRINGFIELD MA    "	11
HFE	"HEFEI                        "	713
HFF	"HOFFMAN          "	36
HFN	"HOFN                       "	439
HFS	"HAGFORS                     "	484
HFT	"HAMMERFEST                   "	465
HGA	"HARGEISA SOMALIA                  "	573
HGD	"HUGHENDEN           "	802
HGH	"HANGZHOU                     "	713
HGL	"HELGOLAND                   "	429
HGN	"MAE HONG SON              "	782
HGO	"KORHOGO                "	533
HGR	"HAGERSTOWN MARYLAND            "	35
HGS	"FREETOWN SIERRA LEO               "	571
HGU	"MT. HAGEN        "	804
HGZ	"HOGATZA                   "	1
HHA	"HUANGHUA             "	713
HHE	"HACHINOHE                     "	736
HHH	"HILTON HEAD ISLAND SC          "	37
HHN	"HAHN             "	429
HHP	HONG KONG.                         	729
HHQ	"HUA HIN                   "	782
HHR	"HAWTHORNE             "	91
HHZ	"HIKUERU FRENCH POLYNESIA          "	823
HIB	"CHISHOLM/HIBBING MINNESOTA     "	63
HIC	"PRETORIA  -ISCOR       "	562
HID	"HORN ISLAND         "	802
HIE	"WHITEFIELD NEW HAMPSHIRE       "	14
HIF	"OGDEN UTAH                     "	87
HIG	"HIGHBURY            "	802
HIH	"HOOK ISLAND QLD          "	802
HII	"LAKE HAVASU CITY        "	81
HIJ	"HIROSHIMA                     "	736
HIK	"HONOLULU                 "	2
HIL	"HILONGOS                "	766
HIN	"CHINJU SOUTH KOREA                "	778
HIO	"HILLSBORO OREGON               "	92
HIP	"HEADINGLY           "	802
HIR	"HONIARA GUADALCANAL   "	874
HIS	"HAYMAN IS           "	802
HIT	"HIVARO           "	804
HIW	"HIROSHIMA-WEST                "	736
HIX	"HIVA OA              "	823
HJR	"KHAJURAHO                    "	733
HJT	"KHUJIRT MONGOLIA                  "	751
HKA	"BLYTHEVILLE AR            "	71
HKB	"HEALY LAKE                "	1
HKD	"HAKODATE                      "	736
HKG	"HONG KONG HONG KONG               "	729
HKK	"HOKITIKA NEW ZEALAND              "	851
HKN	"HOSKINS          "	804
HKP	"KAANAPALI MAUI          "	2
HKS	"JACKSON             "	53
HKT	"PHUKET                    "	782
HKV	"HASKOVO BULGARIA                  "	411
HKY	"HICKORY          "	36
HLA	"LANSERIA               "	562
HLB	"BATESVILLE NA             "	42
HLC	"HILL CITY                 "	62
HLD	"HAILAR                       "	713
HLF	"HULTSFRED                   "	484
HLG	"WHEELING WEST          "	39
HLH	"ULANHOT                      "	713
HLI	"HOLLISTER             "	91
HLJ	"SHAULIAJ LITHUANIA                "	452
HLL	"HILLSIDE W.               "	802
HLM	"HOLLAND                "	43
HLN	"HELENA                  "	84
HLP	"JAKARTA INDONESIA.                "	832
HLS	"ST. HELENES TASMANIA              "	802
HLT	"HAMILTON VIC.            "	802
HLU	"HOUAILOU NEW CALEDONIA            "	846
HLV	"HELENVALE           "	778
HLW	"HLUHLUWE               "	562
HLY	"HOLYHEAD WALES UK                 "	493
HLZ	"HAMILTON NEW ZEALAND              "	851
HMA	"MALMO-HARBOUR               "	484
HME	"HASSI MESSAOUD              "	500
